choice	| Jim and Beth wanted to become parents. They decided to have a baby. They were happy to have a baby. But they were also excited to have a child. After a year their baby was stillborn.
big fright	| Tom was a boy scout. He was given a lot of assignments to do. He thought he would be the best. He spent a lot of time preparing for the assignments. But he was scared and didn't do his best work. <|endoftext|>>
overweight cat	| There was a cat named Tilly. She was very overweight. The family took her to the vet. The vet said she was too fat to feed her kittens. She had to get a cat bed to feed them.
joana	| na knew her dad was very sick. She wondered if he would ever walk again. Then she found out he had cancer ! She prayed for him to feel better in her arms. She prayed for the day when he would come home !
the runaway	| Timmy was a poor boy. He was running away from home. He didn't have much money. He used some of his allowance money to buy a bike. Timmy rode his bike down the street.
ruined cake	| I made a cake yesterday. It was a chocolate cake. I accidentally dropped the cake. It shattered on the floor. I could not finish the cake.
inconvenience	| A man walked into a store. He asked for coffee. The clerk told him to get it. The man complained. The clerk told the man that he was being rude.
spoiled milk	| Tom bought a glass of milk. He drank it with milk and sugar. When he got home , he noticed all the milk had gone bad. He went to the store to find out what had gone wrong. They couldn't tell him because the milk didn't have the sugar.
the band	| There was a band that played in the park. They played a lot of music. People loved the music. They played in the park every summer. The park was their playground.
cooking	| Alice wanted to learn how to cook. She signed up for the cooking class at the community center. She learned how to make hamburgers and french fries. She also learned how to make chicken parm. Alice loved her new career as a cooking instructor.
boston trip	| I was going on a trip to Boston for school. I had been to Chicago and Philadelphia. I wanted to visit Boston and see all the sights. The day before my trip I went to the museum. I wanted to see all the sights in Boston.
dance	| The teacher asked if anyone wanted to dance. The entire class had never danced before. All of the students were nervous. The teacher gave a quick lesson in the basics. It was the best dance class of the year.
cape cod	| I was going to take my daughter to the beach yesterday. She was excited about going , but the day was cloudy. When we arrived , there was a large storm. Our car stopped working in the rain , and we had to use a taxi. We had to wait until Friday afternoon to go again.
broken glasses	| Tom was watching TV one night. He went to watch a movie on his phone. When the movie ended , he couldn't find his phone. He looked all over his house but couldn't find it. Tom decided to have his glasses checked and it was fine.
the tower	| I was at the park. I saw a tower. It was very tall. I went over it. I was afraid.
mother in law .	| Marlene is a mom in law. The woman she married lived in another state. Marlene decided to adopt her daughter from that state. The family of the girl was happy. Marlene realized that adopting a child from another state was a good idea.
even at one	| My sister-in-law was always late to her house. She is a very generous woman. One day , she got a call from a friend. Her husband was at work and they were supposed to meet. He had to be at work the next day.
